Identifier	Character	Dialogue	Filename	Line Number
demo_text_e8aec30a	e	They let you include images inside text Neat	game/demo_text.rpy	75
demo_text_b647b4d4	e	We can pause the text for a short time, and have it auto-advance. Just like that.	game/demo_text.rpy	77
demo_text_90c83bb6	eslow	We can even have the text auto-advance,	game/demo_text.rpy	79
demo_text_a134abb3	extend	 when we reach the end of a block of text, in slow text mode.	game/demo_text.rpy	82
demo_text_d2b1ebbe	e	They can change the color of the text.	game/demo_text.rpy	84
demo_text_6d050f89	e	The kerning tag lets you adjust the spacing between characters.\nThe spacing between characters can be increased.\nThe spacing between characters can be decreased.	game/demo_text.rpy	88
demo_text_e8835287	eruby	You are able to write ruby text, which can help clarify how to pronounce words, like Ren'Pyren-pie.	game/demo_text.rpy	90
demo_text_6e1b95f0	e	Hyperlinks let buttons be defined using text tags.	game/demo_text.rpy	92
demo_text_245e745a	e	The space and vspace tags add  horizontal and vertical space, respectively.	game/demo_text.rpy	94
demo_text_362f67bb	e	You can define your own text tags, that use a style you define.	game/demo_text.rpy	96
demo_text_9225af3b	e	If you find yourself using text tags on every line, you should probably look at style properties instead.	game/demo_text.rpy	98
demo_text_3b409933	e	Used with care, text tags can enhance your game.	game/demo_text.rpy	100
demo_text_fcb34ec8	e	Used with abandon, they can make your game hard to read.	game/demo_text.rpy	102
demo_text_3154619a	e	With great power comes great responsibility, after all.	game/demo_text.rpy	104
demo_text_12873855	e	And we want to give you all the power you need.	game/demo_text.rpy	106
demo_text_63b9c010	e	There are a couple of text adjustments that don't correspond to text tags.	game/demo_text.rpy	108
demo_text_1a6f274c	eoutline	The outlines setting lets you put outlines around the text.	game/demo_text.rpy	110
demo_text_c130dcd4	eoutline	You can have more than one outline, and each has its own color and offset.	game/demo_text.rpy	112
demo_text_9eb0448e	esubtitle	Here, we have two outlines around the white text.	game/demo_text.rpy	116
demo_text_eb22992d	esubtitle	The bottom one is a translucent black that's offset a little, while the top one is green.	game/demo_text.rpy	118
demo_text_7067acb5	esubtitle	By hiding the window and adjusting the layout method, we are able to create reasonable subtitles.	game/demo_text.rpy	120
demo_text_123ff836	esubtitle	This might be an interesting look for a game.	game/demo_text.rpy	122
demo_text_d742e133	esfont	For even more control, Ren'Py supports SFonts, image files containing font information.	game/demo_text.rpy	126
demo_text_2a8833c0	esfont	SFonts let you use fonts you otherwise couldn't, and apply special effects to fonts using your favorite image editor.	game/demo_text.rpy	128
demo_text_418ffc27	e	Well, that's it for fonts and text tags.	game/demo_text.rpy	130
define_hyperlink_8863ed04	definition	A hyperlink is a button that is defined inside text, using text tags. They're ideal for including definitions of words used in the script, but they shouldn't be used in place of menus.	game/demo_text.rpy	138
demo_transitions_5bbc72fe	e	Ren'Py ships with a large number of built-in transitions, and also includes classes that let you define your own.	game/demo_transitions.rpy	44
demo_transitions_menu_3caf78d3	e	What kind of transitions would you like demonstrated?	game/demo_transitions.rpy	46
		Simple Transitions	game/demo_transitions.rpy	46
		ImageDissolve Transitions	game/demo_transitions.rpy	46
		MoveTransition Transitions	game/demo_transitions.rpy	46
		CropMove Transitions	game/demo_transitions.rpy	46
		PushMove Transitions	game/demo_transitions.rpy	46
		AlphaDissolve Transitions	game/demo_transitions.rpy	46
			game/demo_transitions.rpy	46
		How about something else?	game/demo_transitions.rpy	46
demo_simple_transitions_2b4fbae3	e	Okay, I can tell you about simple transitions. We call them simple because they don't take much in the way of configuration.	game/demo_transitions.rpy	85
demo_simple_transitions_4b235ac2	e	But don't let that get you down, since they're the transitions you'll probably use the most in a game.	game/demo_transitions.rpy	87
demo_simple_transitions_af0431ac	e	The 'dissolve' transition is probably the most useful, blending one scene into another.	game/demo_transitions.rpy	92
demo_simple_transitions_5b9f711f	e	The 'Dissolve' function lets you create your own dissolves, taking a different amount of time.	game/demo_transitions.rpy	97
demo_simple_transitions_79816523	e	The 'fade' transition fades to black, and then fades back in to the new scene.	game/demo_transitions.rpy	102
demo_simple_transitions_141bb95d	e	If you're going to stay at a black screen, you'll probably want to use 'dissolve' rather than 'fade'.	game/demo_transitions.rpy	104
demo_simple_transitions_f059f4ae	e	You can use 'Fade' to define your own fades. By changing the timing and the color faded to, you can use this for special effects, like flashbulbs.	game/demo_transitions.rpy	108
demo_simple_transitions_e948905b	e	The 'pixellate' transition pixellates out the old scene, switches to the new scene, and then unpixellates that.	game/demo_transitions.rpy	113
demo_simple_transitions_6a1ae05f	e	It's probably not appropriate for most games, but we think it's kind of neat.	game/demo_transitions.rpy	115
demo_simple_transitions_bdfcd85a	e	You can use 'Pixellate' to change the details of the pixellation.	game/demo_transitions.rpy	118
demo_simple_transitions_432f7224	e	Motions can also be used as transitions.	game/demo_transitions.rpy	120
demo_simple_transitions_a20cefa7		...	game/demo_transitions.rpy	122
demo_simple_transitions_0fd4d656		......	game/demo_transitions.rpy	124
demo_simple_transitions_fbf11906	e	Hey! Pay attention.	game/demo_transitions.rpy	129
demo_simple_transitions_51c1c5b8	e	I was about to demonstrate 'vpunch'... well, I guess I just did.	game/demo_transitions.rpy	131
demo_simple_transitions_57f19473	e	We can also shake the screen horizontally, with 'hpunch'. These were defined using the 'Move' function.	game/demo_transitions.rpy	136
demo_simple_transitions_fce83e12	e	There's also the 'move' transition, which is confusingly enough defined using the 'MoveTransition' function.	game/demo_transitions.rpy	138
demo_simple_transitions_1050b6a4	e	The 'move' transition finds images that have changed placement, and slides them to their new place. It's an easy way to get motion in your game.	game/demo_transitions.rpy	145
demo_simple_transitions_fbb1838e	e	Finally, there's 'Pause', which lets you define a transition that just waits for a given amount of time.	game/demo_transitions.rpy	147
demo_simple_transitions_654a7a87	e	Why would you want to do that?	game/demo_transitions.rpy	149
demo_simple_transitions_3b8c0bce	e	It's because clicking during a sequence of transitions will skip all of the remaining transitions.	game/demo_transitions.rpy	151
demo_simple_transitions_6cad71a4	e	Try clicking during the following transitions:	game/demo_transitions.rpy	153
demo_simple_transitions_c75a0d2d	e	Having 'Pause' makes it easy to implement skippable cut-scenes in terms of transitions.	game/demo_transitions.rpy	161
demo_simple_transitions_4632f134	e	Anyway, that's it for the simple transitions.	game/demo_transitions.rpy	163
demo_imagedissolve_transitions_2db67018	e	Perhaps the most flexible kind of transition is the ImageDissolve, which lets you use an image to control a dissolve.	game/demo_transitions.rpy	170
demo_imagedissolve_transitions_429f8d03	e	This lets us specify very complex transitions, fairly simply. Let's try some, and then I'll show you how they work.	game/demo_transitions.rpy	172
demo_imagedissolve_transitions_1ce501b0	e	There are two ImageDissolve transitions built into Ren'Py.	game/demo_transitions.rpy	174
demo_imagedissolve_transitions_ea0413be	e	The 'blinds' transition opens and closes what looks like vertical blinds.	game/demo_transitions.rpy	185
demo_imagedissolve_transitions_12e2e0d0	e	The 'squares' transition uses these squares to show things.	game/demo_transitions.rpy	194
demo_imagedissolve_transitions_bbf73d1c	e	I'm not sure why anyone would want to use it, but it was used in some translated games, so we added it.	game/demo_transitions.rpy	196
demo_imagedissolve_transitions_0ab2902d	e	The most interesting transitions aren't in the standard library.	game/demo_transitions.rpy	198
demo_imagedissolve_transitions_54aa9bf9	e	These ones require an image the size of the screen, and so we couldn't include them as the size of the screen can change from game to game.	game/demo_transitions.rpy	200
demo_imagedissolve_transitions_70cfd5ed	e	You can click the button above to see how they are defined in the demo script.	game/demo_transitions.rpy	202
demo_imagedissolve_transitions_ca316184	e	We can hide things with a 'circleirisin'...	game/demo_transitions.rpy	207
demo_imagedissolve_transitions_b8fdf2b6	e	... and show them again with a 'circleirisout'.	game/demo_transitions.rpy	212
demo_imagedissolve_transitions_ee427486	e	The 'circlewipe' transitions changes screens using a circular wipe effect.	game/demo_transitions.rpy	217
demo_imagedissolve_transitions_6f089276	e	The 'dream' transition does this weird wavy dissolve, and does it relatively slowly.	game/demo_transitions.rpy	222
demo_imagedissolve_transitions_c0b9d74d	e	The 'teleport' transition reveals the new scene one line at a time.	game/demo_transitions.rpy	227
demo_imagedissolve_transitions_72ba11d4	e	This is the background picture used with the circleirisout transition.	game/demo_transitions.rpy	232
demo_imagedissolve_transitions_fc3b3339	e	When we use an ImageDissolve, the white will dissolve in first, followed by progressively darker colors. Let's try it.	game/demo_transitions.rpy	234
demo_imagedissolve_transitions_4327dca2	e	If we give ImageDissolve the 'reverse' parameter, black areas will dissolve in first.	game/demo_transitions.rpy	239
demo_imagedissolve_transitions_3a401ee7	e	This lets circleirisin and circleirisout use the same image.	game/demo_transitions.rpy	244
demo_imagedissolve_transitions_20d9cf6c	e	The teleport transition uses a different image, one that dissolves things in one line at a time.	game/demo_transitions.rpy	249
demo_imagedissolve_transitions_906f7800	e	A dissolve only seems to affect parts of the scene that have changed...	game/demo_transitions.rpy	254
demo_imagedissolve_transitions_4b557a29	e	... which is how we apply the teleport effect to a single character.	game/demo_transitions.rpy	259
demo_imagedissolve_transitions_e16f8d3a	e	For more examples of ImageDissolve, check out the Utsukushii Effects demo.	game/demo_transitions.rpy	261
demo_imagedissolve_transitions_b6dbf68b	e	It shows how a clever game-maker can use ImageDissolve to create all sorts of effects.	game/demo_transitions.rpy	263
demo_cropmove_transitions_1711a91e	e	The CropMove transition class provides a wide range of transition effects. It's not used very much in practice, though.	game/demo_transitions.rpy	269
demo_cropmove_transitions_6d82cfd7	e	I'll stand offscreen, so you can see some of its modes. I'll read out the mode name after each transition.	game/demo_transitions.rpy	274
demo_cropmove_transitions_4427c78c	e	We first have wiperight...	game/demo_transitions.rpy	279
demo_cropmove_transitions_6d1810a1	e	...followed by wipeleft... 	game/demo_transitions.rpy	284
demo_cropmove_transitions_1dd1c6a1	e	...wipeup...	game/demo_transitions.rpy	289
demo_cropmove_transitions_0ea0fa83	e	...and wipedown.	game/demo_transitions.rpy	294
demo_cropmove_transitions_c7cb4c16	e	Next, the slides.	game/demo_transitions.rpy	296
demo_cropmove_transitions_462a442f	e	Slideright...	game/demo_transitions.rpy	301
demo_cropmove_transitions_f9a2e523	e	...slideleft...	game/demo_transitions.rpy	306
demo_cropmove_transitions_20ce3e9c	e	...slideup...	game/demo_transitions.rpy	311
demo_cropmove_transitions_9e00a7a6	e	and slidedown.	game/demo_transitions.rpy	316
demo_cropmove_transitions_b8a710c1	e	While the slide transitions slide in the new scene, the slideaways slide out the old scene.	game/demo_transitions.rpy	318
demo_cropmove_transitions_1efb4cd0	e	Slideawayright...	game/demo_transitions.rpy	324
demo_cropmove_transitions_bfb5dfd7	e	...slideawayleft...	game/demo_transitions.rpy	329
demo_cropmove_transitions_6c1a4a6f	e	...slideawayup...	game/demo_transitions.rpy	334
demo_cropmove_transitions_1f994a7b	e	and slideawaydown.	game/demo_transitions.rpy	339
demo_cropmove_transitions_025ef723	e	We also have a couple of transitions that use a rectangular iris.	game/demo_transitions.rpy	341
demo_cropmove_transitions_d00d505e	e	There's irisout...	game/demo_transitions.rpy	347
demo_cropmove_transitions_016a1e0a	e	... and irisin.	game/demo_transitions.rpy	353
demo_cropmove_transitions_08d753ed	e	It's enough to make you feel a bit dizzy.	game/demo_transitions.rpy	355
demo_pushmove_transitions_003e506d	e	The PushMove transitions use the new scene to push the old one out. Let's take a look.	game/demo_transitions.rpy	361
demo_pushmove_transitions_124f375d		There's pushright...	game/demo_transitions.rpy	367
demo_pushmove_transitions_ce380ccb		...pushleft...	game/demo_transitions.rpy	372
demo_pushmove_transitions_77629638		...pushdown...	game/demo_transitions.rpy	377
demo_pushmove_transitions_b7f33c95		... and pushup. And that's it the for the PushMove-based transitions.	game/demo_transitions.rpy	383
demo_movetransition_14df0e34	e	The most common MoveTransition is move, which slides around images that have changed position on the screen.	game/demo_transitions.rpy	389
demo_movetransition_84e40422	e	Just like that.	game/demo_transitions.rpy	394
demo_movetransition_098ee9f1	e	There are also the moveout and movein transitions.	game/demo_transitions.rpy	396
demo_movetransition_09748f81	e	The moveout transitions (moveoutleft, moveoutright, moveouttop, and moveoutbottom) slide hidden images off the appropriate side of the screen.	game/demo_transitions.rpy	398
demo_movetransition_5edf6007	e	The movein transitions (moveinleft, moveinright, moveintop, and moveinbottom) slide in new images.	game/demo_transitions.rpy	400
demo_movetransition_20946d36	e	Let's see them all in action.	game/demo_transitions.rpy	402
demo_movetransition_569952e3	e	That's it for the moveins and moveouts.	game/demo_transitions.rpy	428
demo_movetransition_af4c53cf	e	Finally, there are the zoomin and zoomout transtions, which show and hide things using a zoom.	game/demo_transitions.rpy	430
demo_movetransition_dc5ccd54	e	And that's all there is.	game/demo_transitions.rpy	438
demo_alphadissolve_3efbde9f	e	The AlphaDissolve transition lets you use one displayable to combine two others. For example...	game/demo_transitions.rpy	444
demo_alphadissolve_7c08cf8b	e	The AlphaDissolve displayable takes a control displayable, usually an ATL transform.	game/demo_transitions.rpy	452
demo_alphadissolve_068e3e98	e	To be useful, the control displayable should be partially transparent.	game/demo_transitions.rpy	457
demo_alphadissolve_6a1b6203	e	During an AlphaDissolve, the old screen is used to fill the transparent areas of the image, while the new screen fills the opaque areas.	game/demo_transitions.rpy	459
demo_alphadissolve_80a728b6	e	For our spotlight example, the old screen is this all-black image.	game/demo_transitions.rpy	463
demo_alphadissolve_ce4380eb	e	The new screen is me just standing here.	game/demo_transitions.rpy	468
demo_alphadissolve_2e95917b	e	By combining them using AlphaDissolve, we can build a complicated effect out of simpler parts.	game/demo_transitions.rpy	476
tutorial_video_f34a17f5	e	Ren'Py supports playing movies. There are two ways of doing this.	../tutorial_video.rpyc	11
tutorial_video_4aefd413	e	The first way allows you to show a movie as an image, along with every other image that's displayed on the screen.	../tutorial_video.rpyc	13
tutorial_video_b927d009	e	To do this, we first have to define an image to be a Movie displayable. Movie displayables require a size argument, and also use properties to position themselves on the screen.	../tutorial_video.rpyc	17
tutorial_video_fbaa71e4	e	Then, we can show the movie displayable, which starts the movie playing.	../tutorial_video.rpyc	27
tutorial_video_bbbb242d	e	When we no longer want to play the movie, we can hide it.	../tutorial_video.rpyc	35
tutorial_video_a66b154c	e	The other way to show a movie is with the renpy.movie_cutscene python function. This shows the movie fullscreen, either until it ends or until the user clicks.	../tutorial_video.rpyc	39
tutorial_video_7b2dc95f	e	And that's all there is when it comes to movie playback in Ren'Py.	../tutorial_video.rpyc	47
tutorial_positions_a09a3fd1	e	In this tutorial, I'll teach you how Ren'Py positions things on the screen. But before that, let's learn a little bit about how Python handles numbers.	../tutorial_atl.rpyc	187
tutorial_positions_ba39aabc	e	There are two main kinds of numbers in Python: integers and floating point numbers. An integer consists entirely of digits, while a floating point number has a decimal point.	../tutorial_atl.rpyc	189
tutorial_positions_a60b775d	e	For example, 100 is an integer, while 0.5 is a floating point number, or float for short. In this system, there are two zeros: 0 is an integer, and 0.0 is a float.	../tutorial_atl.rpyc	191
tutorial_positions_7f1a560c	e	Ren'Py uses integers to represent absolute coordinates, and floats to represent fractions of an area with known size.	../tutorial_atl.rpyc	193
tutorial_positions_8e7d3e52	e	When we're positioning something, the area is usually the entire screen.	../tutorial_atl.rpyc	195
tutorial_positions_fdcf9d8b	e	Let me get out of the way, and I'll show you where some positions are.	../tutorial_atl.rpyc	197
tutorial_positions_76d7a5bf	e	The origin is the upper-left corner of the screen. That's where the x position (xpos) and the y position (ypos) are both zero.	../tutorial_atl.rpyc	211
tutorial_positions_be14c7c3	e	When we increase xpos, we move to the right. So here's an xpos of .5, meaning half the width across the screen.	../tutorial_atl.rpyc	217
tutorial_positions_9b91be6c	e	Increasing xpos to 1.0 moves us to the right-hand border of the screen.	../tutorial_atl.rpyc	222
tutorial_positions_80be064f	e	We can also use an absolute xpos, which is given in an absolute number of pixels from the left side of the screen. For example, since this window is 800 pixels across, using an xpos of 400 will return the target to the center of the top row.	../tutorial_atl.rpyc	228
tutorial_positions_c4d18c0a	e	The y-axis position, or ypos works the same way. Right now, we have a ypos of 0.0.	../tutorial_atl.rpyc	230
tutorial_positions_16933a61	e	Here's a ypos of 0.5.	../tutorial_atl.rpyc	236
tutorial_positions_6eb36777	e	A ypos of 1.0 specifies a position at the bottom of the screen. If you look carefully, you can see the position indicator spinning below the text window.	../tutorial_atl.rpyc	241
tutorial_positions_a423050f	e	Like xpos, ypos can also be an integer. In this case, ypos would give the total number of pixels from the top of the screen.	../tutorial_atl.rpyc	243
tutorial_positions_bc7a809a	e	Can you guess where this position is, relative to the screen?	../tutorial_atl.rpyc	249
		xpos 1.0 ypos .5	game/tutorial_atl.rpy	249
		xpos .75 ypos .25	game/tutorial_atl.rpy	249
		xpos .25 ypos .33	game/tutorial_atl.rpy	249
tutorial_positions_6f926e18	e	Sorry, that's wrong. The xpos is .75, and the ypos is .25.	../tutorial_atl.rpyc	255
tutorial_positions_5d5feb98	e	In other words, it's 75%% of the way from the left side, and 25%% of the way from the top.	../tutorial_atl.rpyc	257
tutorial_positions_77b45218	e	Good job! You got that position right.	../tutorial_atl.rpyc	261
tutorial_positions_6f926e18_1	e	Sorry, that's wrong. The xpos is .75, and the ypos is .25.	../tutorial_atl.rpyc	265
tutorial_positions_5d5feb98_1	e	In other words, it's 75%% of the way from the left side, and 25%% of the way from the top.	../tutorial_atl.rpyc	267
tutorial_positions_e4380a83	e	The second position we care about is the anchor. The anchor is a spot on the thing being positioned.	../tutorial_atl.rpyc	281
tutorial_positions_d1db1246	e	For example, here we have an xanchor of 0.0 and a yanchor of 0.0. It's in the upper-left corner of the logo image.	../tutorial_atl.rpyc	283
tutorial_positions_6056873f	e	When we increase the xanchor to 1.0, the anchor moves to the right corner of the image.	../tutorial_atl.rpyc	288
tutorial_positions_7cdb8dcc	e	Similarly, when both xanchor and yanchor are 1.0, the anchor is the bottom-right corner.	../tutorial_atl.rpyc	293
tutorial_positions_03a07da8	e	To place an image on the screen, we need both the position and the anchor.	../tutorial_atl.rpyc	301
tutorial_positions_8945054f	e	We then line them up, so that both the position and anchor are at the same point on the screen.	../tutorial_atl.rpyc	309
tutorial_positions_2b184a93	e	When we place both in the upper-left corner, the image moves to the upper-left corner of the screen.	../tutorial_atl.rpyc	319
tutorial_positions_5aac4f3f	e	With the right combination of position and anchor, any place on the screen can be specified, without even knowing the size of the image.	../tutorial_atl.rpyc	328
tutorial_positions_3b59b797	e	It's often useful to set xpos and xanchor to the same value. We call that xalign, and it gives a fractional position on the screen.	../tutorial_atl.rpyc	340
tutorial_positions_b8ebf9fe	e	For example, when we set xalign to 0.0, things are aligned to the left side of the screen.	../tutorial_atl.rpyc	345
tutorial_positions_8ce35d52	e	When we set it to 1.0, then we're aligned to the right side of the screen.	../tutorial_atl.rpyc	350
tutorial_positions_6745825f	e	And when we set it to 0.5, we're back to the center of the screen.	../tutorial_atl.rpyc	355
tutorial_positions_64428a07	e	Setting yalign is similar, except along the y-axis.	../tutorial_atl.rpyc	357
tutorial_positions_cfb77d42	e	Remember that xalign is just setting xpos and xanchor to the same value, and yalign is just setting ypos and yanchor to the same value.	../tutorial_atl.rpyc	359
tutorial_positions_0f4ca2b6	e	Once you understand positions, you can use transformations to move things around the Ren'Py screen.	../tutorial_atl.rpyc	366
tutorial_atl_a1cc1bff	e	While showing static images is often enough for most games, occasionally we'll want to change images, or move them around the screen.	../tutorial_atl.rpyc	373
tutorial_atl_81dbb8f2	e	We call this a Transform, and it's what ATL, Ren'Py's Animation and Transformation Language, is for.	../tutorial_atl.rpyc	375
tutorial_atl_65badef3	e	But first, let's have... a Gratuitous Rock Concert!	../tutorial_atl.rpyc	383
tutorial_atl_3ccfe2ac	e	That was a lot of work, and before you can do that, we'll need to start with the basics of using ATL.	../tutorial_atl.rpyc	391
tutorial_atl_1f22f875	e	There are currently three places where ATL can be used in Ren'Py.	../tutorial_atl.rpyc	393
tutorial_atl_fd036bdf	e	The first place ATL can be used is as part of an image statement. Instead of a displayable, an image may be defined as a block of ATL code.	../tutorial_atl.rpyc	397
tutorial_atl_7cad2ab9	e	When used in this way, we have to be sure that ATL includes one or more displayables to actually show.	../tutorial_atl.rpyc	399
tutorial_atl_c78b2a1e	e	The second way is through the use of the transform statement. This assigns the ATL block to a python variable, allowing it to be used in at clauses and inside other transforms.	../tutorial_atl.rpyc	403
tutorial_atl_da7a7759	e	Finally, an ATL block can be used as part of a show statement, instead of the at clause.	../tutorial_atl.rpyc	407
tutorial_atl_c21bc1d1	e	The key to ATL is what we call composeability. ATL is made up of relatively simple commands, which can be combined together to create complicated transforms.	../tutorial_atl.rpyc	411
tutorial_atl_ed82983f	e	Before I explain how ATL works, let me explain what animation and transformation are.	../tutorial_atl.rpyc	413
tutorial_atl_2807adff	e	Animation is when the displayable being shown changes. For example, right now I am changing my expression.	../tutorial_atl.rpyc	418
tutorial_atl_3eec202b	e	Transformation involves moving or distorting an image. This includes placing it on the screen, zooming it in and out, rotating it, and changing its opacity.	../tutorial_atl.rpyc	445
tutorial_atl_fbc9bf83	e	To introduce ATL, let's start by looking at at a simple animation. Here's one that consists of five lines of ATL code, contained within an image statement.	../tutorial_atl.rpyc	453
tutorial_atl_12c839ee	e	In ATL, to change a displayable, simply mention it on a line of ATL code. Here, we're switching back and forth between two images.	../tutorial_atl.rpyc	455
tutorial_atl_c671ed7d	e	Since we're defining an image, the first line of ATL has to name a displayable. Otherwise, there would be nothing to show.	../tutorial_atl.rpyc	457
tutorial_atl_99386181	e	The second and fourth lines are pause statements, which cause ATL to wait half of a second each before continuing. That's how we give the delay between images.	../tutorial_atl.rpyc	459
tutorial_atl_60f2a5e8	e	The final line is a repeat statement. This causes the current block of ATL to be restarted. You can only have one repeat statement per block.	../tutorial_atl.rpyc	461
tutorial_atl_146cf4c4	e	If we were to write repeat 2 instead, the animation would loop twice, then stop.	../tutorial_atl.rpyc	466
tutorial_atl_d90b1838	e	Omitting the repeat statement means that the animation stops once we reach the end of the block of ATL code.	../tutorial_atl.rpyc	471
tutorial_atl_e5872360	e	By default, displayables are replaced instantaneously. We can also use a with clause to give a transition between displayables.	../tutorial_atl.rpyc	476
tutorial_atl_a7f8ed01	e	Now, let's move on to see how we can use ATL to transform an image. We'll start off by seeing what we can do to position images on the screen.	../tutorial_atl.rpyc	483
tutorial_atl_24501213	e	Perhaps the simplest thing we can do is to position the images on the screen. This can be done by simply giving the names of the transform properties, each followed by the value.	../tutorial_atl.rpyc	492
tutorial_atl_43516492	e	With a few more statements, we can move things around on the screen.	../tutorial_atl.rpyc	497
tutorial_atl_8b053b5a	e	This code starts the image off at the top-right of the screen, and waits a second.	../tutorial_atl.rpyc	499
tutorial_atl_d7fc5372	e	It then moves it to the left side, waits another second, and repeats.	../tutorial_atl.rpyc	501
tutorial_atl_7650ec09	e	The pause and repeat statements are the same statements we used in our animations. They work throughout ATL code.	../tutorial_atl.rpyc	503
tutorial_atl_d3416d4f	e	Having the image jump around on the screen isn't all that useful. That's why ATL has the interpolation statement.	../tutorial_atl.rpyc	508
tutorial_atl_4e7512ec	e	The interpolation statement allows you to smoothly vary the value of a transform property, from an old to a new value.	../tutorial_atl.rpyc	510
tutorial_atl_685eeeaa	e	Here, we have an interpolation statement on the second ATL line. It starts off with the name of a time function, in this case linear.	../tutorial_atl.rpyc	512
tutorial_atl_c5cb49de	e	That's followed by an amount of time, in this case three seconds. It ends with a list of properties, each followed by its new value.	../tutorial_atl.rpyc	514
tutorial_atl_72d47fb6	e	The old value is the value of the transform property at the start of the statement. By interpolating the property over time, we can change things on the screen.	../tutorial_atl.rpyc	516
tutorial_atl_2958f397	e	ATL supports more complicated move types, like circle and spline motion. But I won't be showing those here.	../tutorial_atl.rpyc	526
tutorial_atl_4a02c8d8	e	Next, let's take a look at some of the transform properties that we can change using ATL.	../tutorial_atl.rpyc	528
